Name,Set,Quantity
Abandon Hope,Tempest,2
Abjure,Weatherlight,6
Absolute Grace,Urza's Saga,1
Absolute Law,Urza's Saga,1
Abundance,Urza's Saga,1
Abyssal Gatekeeper,Weatherlight,5
Abyssal Horror,Urza's Saga,1
Abyssal Hunter,Mirage,1
Academy Researchers,Urza's Saga,1
Acidic Dagger,Mirage,1
Acidic Sliver,Stronghold,1
Acidic Soil,Urza's Saga,1
Acridian,Urza's Saga,1
Adarkar Unicorn,Ice Age,1
Advance Scout,Tempest,5
Aesthir Glider (B),Alliances,1
Aether Tide,Exodus,7
Afiya Grove,Mirage,1
Afterlife,Mirage,1
Aftershock,Tempest,2
Agility,Mirage,7
Alabaster Potion,Fourth Edition,1
Alarum,Mirage,8
Albino Troll,Urza's Saga,1
Aleatory,Mirage,1
Aliban's Tower (B),Homelands,2
Allay,Exodus,7
Alluring Scent,Portal,1
Alms,Weatherlight,5
Altar of Dementia,Tempest,1
Aluren,Tempest,1
Amber Prison,Mirage,1
Ambush Party (A),Homelands,1
Ambush Party (B),Homelands,1
Amok,Stronghold,1
Amulet of Kroog,Fifth Edition,1
Amulet of Kroog,Fourth Edition,1
Amulet of Unmaking,Mirage,1
An-Havva Township,Homelands,1
Anaba Shaman (A),Homelands,1
Anaba Shaman (B),Homelands,1
Anaconda (A),Portal,1
Anaconda,Urza's Saga,1
Anarchist,Exodus,7
Ancestral Mask,Mercadian Masques,3
Ancestral Memories,Mirage,1
Ancestral Memories,Portal,1
Ancient Runes,Tempest,1
Ancient Tomb,Tempest,1
Angelic Blessing,Exodus,6
Angelic Blessing,Portal,1
Angelic Chorus,Urza's Saga,1
Angelic Curator,Urza's Legacy,1
Angelic Page,Eighth Edition,2
Angelic Page,Urza's Saga,4
Angelic Protector,Tempest,2
Angelic Renewal,Weatherlight,6
Annul,Urza's Saga,1
Anoint,Tempest,3
Antagonism,Urza's Saga,1
Apathy,Weatherlight,7
Apes of Rath,Tempest,1
Apocalypse,Tempest,1
Arc Lightning,Urza's Saga,4
Arcane Laboratory,Urza's Saga,1
Arcbound Worker,Darksteel,1
Arctic Wolves,Weatherlight,1
Arcum's Whistle,Ice Age,1
Ardent Militia,Weatherlight,1
Arenson's Aura,Fifth Edition,1
Argothian Elder,Urza's Saga,1
Argothian Enchantress,Urza's Saga,1
Argothian Swine,Urza's Saga,4
Argothian Wurm,Urza's Saga,1
Armor of Thorns,Mirage,6
Armor Sliver,Tempest,1
Armor Thrull (Spencer),Fallen Empires,1
Armor Thrull (Venters),Fallen Empires,1
Armored Pegasus,Portal,1
Armored Pegasus,Tempest,4
Armorer Guildmage,Mirage,6
Arrogant Vampire,Portal,1
Ashen Powder,Mirage,1
"Asmira, Holy Avenger",Mirage,1
Assassin's Blade,Portal,4
Attunement,Urza's Saga,1
Auratog,Tempest,1
Aurochs,Ice Age,1
Auspicious Ancestor,Mirage,1
Avenging Angel,Tempest,1
Avenging Druid,Exodus,4
Awakening,Stronghold,1
Awesome Presence (A),Alliances,1
Azimaet Drake,Mirage,4
B.F.M. (Big Furry Monster) (Left),Unglued,1
B.F.M. (Big Furry Monster) (Right),Unglued,1
Back to Basics,Urza's Saga,1
Bad River,Mirage,1
Balance of Power,Portal,1
Baleful Stare,Portal,2
Bandage,Stronghold,6
Barbed Foliage,Mirage,1
Barbed Sextant,Fifth Edition,1
Barbed Sliver,Tempest,1
