Abandon Hope,Tempest,2,0.26,0.52
Abjure,Weatherlight,6,0.35,2.10
Absolute Grace,Urza's Saga,1,0.49,0.49
Absolute Law,Urza's Saga,1,0.43,0.43
Abundance,Urza's Saga,1,2.73,2.73
Abyssal Gatekeeper,Weatherlight,5,0.25,1.25
Abyssal Horror,Urza's Saga,1,0.37,0.37
Abyssal Hunter,Mirage,1,0.39,0.39
Academy Researchers,Urza's Saga,1,0.25,0.25
Acidic Dagger,Mirage,1,0.50,0.50
Acidic Sliver,Stronghold,1,0.43,0.43
Acidic Soil,Urza's Saga,1,3.85,3.85
Acridian,Urza's Saga,1,0.21,0.21
Adarkar Unicorn,Ice Age,1,0.20,0.20
Advance Scout,Tempest,5,0.20,1.00
Aesthir Glider,Alliances,1,0,0.00
Aether Tide,Exodus,7,0.20,1.40
Afiya Grove,Mirage,1,1.10,1.10
Afterlife,Mirage,1,0.25,0.25
Aftershock,Tempest,2,0.25,0.50
Agility,Mirage,7,0.20,1.40
Alabaster Potion,Fourth Edition,1,0.18,0.18
Alarum,Mirage,8,0.19,1.52
Albino Troll,Urza's Saga,1,0.27,0.27
Aleatory,Mirage,1,0.49,0.49
Aliban's Tower,Homelands,2,0,0.00
Allay,Exodus,7,0.23,1.61
Alluring Scent,Portal,1,0.71,0.71
Alms,Weatherlight,5,0.19,0.95
Altar of Dementia,Tempest,1,9.44,9.44
Aluren,Tempest,1,53.34,53.34
Amber Prison,Mirage,1,0.47,0.47
Ambush Party (A),Homelands,1,0,0.00
Ambush Party (B),Homelands,1,0,0.00
Amok,Stronghold,1,0.37,0.37
Amulet of Kroog,Fifth Edition,1,0.20,0.20
Amulet of Kroog,Fourth Edition,1,0.20,0.20
Amulet of Unmaking,Mirage,1,0.65,0.65
An-Havva Township,Homelands,1,0.25,0.25
Anaba Shaman (A),Homelands,1,0,0.00
Anaba Shaman (B),Homelands,1,0,0.00
Anaconda,Portal,1,0,0.00
Anaconda,Urza's Saga,1,0.25,0.25
Anarchist,Exodus,7,0.22,1.54
Ancestral Mask,Mercadian Masques,3,1.24,3.72
Ancestral Memories,Mirage,1,0.42,0.42
Ancestral Memories,Portal,1,0.53,0.53
Ancient Runes,Tempest,1,0.30,0.30
Ancient Tomb,Tempest,1,40.00,40.00
Angelic Blessing,Exodus,6,0.20,1.20
Angelic Blessing,Portal,1,0.23,0.23
Angelic Chorus,Urza's Saga,1,1.95,1.95
Angelic Curator,Urza's Legacy,1,0.21,0.21
Angelic Page,Eighth Edition,2,0.22,0.44
Angelic Page,Urza's Saga,4,0.24,0.96
Angelic Protector,Tempest,2,0.25,0.50
Angelic Renewal,Weatherlight,6,0.25,1.50
Annul,Urza's Saga,1,0.25,0.25
Anoint,Tempest,3,0.20,0.60
Antagonism,Urza's Saga,1,0.42,0.42
Apathy,Weatherlight,7,0.20,1.40
Apes of Rath,Tempest,1,0.24,0.24
Apocalypse,Tempest,1,7.24,7.24
Arc Lightning,Urza's Saga,4,0.21,0.84
Arcane Laboratory,Urza's Saga,1,1.34,1.34
Arcbound Worker,Darksteel,1,0.29,0.29
Arctic Wolves,Weatherlight,1,0.24,0.24
Arcum's Whistle,Ice Age,1,0.25,0.25
Ardent Militia,Weatherlight,1,0.19,0.19
Arenson's Aura,Fifth Edition,1,0.25,0.25
Argothian Elder,Urza's Saga,1,4.68,4.68
Argothian Enchantress,Urza's Saga,1,23.95,23.95
Argothian Swine,Urza's Saga,4,0.22,0.88
Argothian Wurm,Urza's Saga,1,1.49,1.49
Armor of Thorns,Mirage,6,0.21,1.26
Armor Sliver,Tempest,1,0.28,0.28
Armor Thrull (Spencer),Fallen Empires,1,0,0.00
Armor Thrull (Venters),Fallen Empires,1,0,0.00
Armored Pegasus,Portal,1,0.21,0.21
Armored Pegasus,Tempest,4,0.20,0.80
Armorer Guildmage,Mirage,6,0.20,1.20
Arrogant Vampire,Portal,1,0.31,0.31
Ashen Powder,Mirage,1,0.75,0.75
"Asmira, Holy Avenger",Mirage,1,5.00,5.00
Assassin's Blade,Portal,4,0.38,1.52
Attunement,Urza's Saga,1,4.08,4.08
Auratog,Tempest,1,0.59,0.59
Aurochs,Ice Age,1,0.19,0.19
Auspicious Ancestor,Mirage,1,0.53,0.53
Avenging Angel,Tempest,1,0.82,0.82
Avenging Druid,Exodus,4,0.22,0.88
Awakening,Stronghold,1,7.04,7.04
Awesome Presence,Alliances,1,0,0.00
Azimaet Drake,Mirage,4,0.20,0.80
B.F.M. (Big Furry Monster) (Left),Unglued,1,0,0.00
B.F.M. (Big Furry Monster) (Right),Unglued,1,0,0.00
Back to Basics,Urza's Saga,1,12.50,12.50
Bad River,Mirage,1,3.99,3.99
Balance of Power,Portal,1,0.62,0.62
Baleful Stare,Portal,2,0.25,0.50
Bandage,Stronghold,6,0.30,1.80
Barbed Foliage,Mirage,1,0.25,0.25
Barbed Sextant,Fifth Edition,1,0.25,0.25
Barbed Sliver,Tempest,1,0.29,0.29
Barbed-Back Wurm,Mirage,1,0.25,0.25
Baron Sengir,Homelands,1,13.60,13.60
Barreling Attack,Mirage,1,0.55,0.55
"Barrin, Master Wizard",Urza's Saga,1,14.53,14.53
Barrin's Codex,Urza's Saga,1,0.46,0.46
Barrow Ghoul,Weatherlight,1,0.21,0.21
Basalt Golem,Mirage,2,0.25,0.50
Basalt Monolith,Revised Edition,1,3.61,3.61
Battering Ram,Fourth Edition,2,0.20,0.40
Bay Falcon,Mirage,8,0.19,1.52
Bayou Dragonfly,Tempest,3,0.21,0.63
Bazaar of Wonders,Mirage,1,1.34,1.34
Bedlam,Urza's Saga,1,4.02,4.02
Bee Sting,Portal,3,0.25,0.75
Befoul,Urza's Saga,1,0.23,0.23
Bellowing Fiend,Tempest,1,0.37,0.37
Benalish Hero,Fifth Edition,1,0.20,0.20
Benalish Hero,Fourth Edition,2,0.17,0.34
Benalish Infantry,Weatherlight,5,0.20,1.00
Benalish Knight,Weatherlight,1,0.20,0.20
Benalish Missionary,Weatherlight,2,0.20,0.40
Benevolent Unicorn,Mirage,7,0.21,1.47
Benthic Behemoth,Tempest,1,0.66,0.66
Benthic Djinn,Mirage,1,0.51,0.51
Benthic Explorers,Alliances,1,0,0.00
Bequeathal,Exodus,8,0.25,2.00
Bereavement,Urza's Saga,1,0.25,0.25
Betrayal,Visions,4,0.24,0.96
Betrothed of Fire,Weatherlight,5,0.20,1.00
Binding Agony,Mirage,2,0.22,0.44
Bird Maiden,Fifth Edition,1,0.20,0.20
Black Knight,Fourth Edition,1,0.33,0.33
Blanchwood Armor,Urza's Saga,1,0.35,0.35
Blanchwood Treefolk,Urza's Saga,1,0.21,0.21
Blasted Landscape,Urza's Saga,1,1.35,1.35
Blighted Shaman,Mirage,1,0.25,0.25
Blind Fury,Mirage,1,0.25,0.25
Blinding Light,Mirage,1,0.25,0.25
Blistering Barrier,Mirage,5,0.20,1.00
Blood Frenzy,Tempest,1,0.21,0.21
Blood Pet,Tempest,1,0.29,0.29
Blood Vassal,Urza's Saga,1,0.23,0.23
Bloodrock Cyclops,Weatherlight,5,0.19,0.95
Blossoming Wreath,Weatherlight,5,0.20,1.00
Blue Elemental Blast,Fourth Edition,1,0.24,0.24
Blue Elemental Blast,Revised Edition,2,0.25,0.50
Blue Ward,Fourth Edition,1,0.25,0.25
Bog Imp,Fifth Edition,1,0.20,0.20
Bog Imp,Fourth Edition,1,0.18,0.18
Bog Imp,Portal,3,0.21,0.63
Bog Raiders,Portal,4,0.22,0.88
Bog Raiders,Urza's Saga,3,0.22,0.66
Bog Rats,The Dark,1,0.25,0.25
Bog Wraith,Portal,1,0.24,0.24
Bogardan Firefiend,Weatherlight,5,0.20,1.00
Boil,Tempest,1,3.64,3.64
Boiling Blood,Weatherlight,5,0.25,1.25
Boiling Seas,Portal,1,0.50,0.50
Bone Harvest,Mirage,5,0.23,1.15
Bone Mask,Mirage,1,0.61,0.61
Bone Shaman,Ice Age,1,0.18,0.18
Booby Trap,Tempest,1,0.49,0.49
Boomerang,Chronicles,1,0.23,0.23
Boomerang,Mirage,1,0.25,0.25
Border Guard,Portal,7,0.22,1.54
Bottle Gnomes,Tempest,1,0.29,0.29
Bottomless Pit,Stronghold,1,3.00,3.00
Bounty Hunter,Tempest,1,8.20,8.20
Brainwash,The Dark,1,0.25,0.25
Brand,Urza's Saga,1,5.99,5.99
Brassclaw Orcs,Fallen Empires,1,0,0.00
Brassclaw Orcs,Fifth Edition,1,0.19,0.19
Bravado,Urza's Saga,1,0.26,0.26
Breach,Urza's Saga,5,0.20,1.00
Breath of Life,Portal,2,0.42,0.84
Breathstealer,Mirage,5,0.20,1.00
Breezekeeper,Visions,5,0.19,0.95
Briar Shield,Weatherlight,5,0.21,1.05
Brilliant Halo,Urza's Saga,4,0.24,0.96
Broken Fall,Tempest,1,0.23,0.23
Brothers of Fire,Fifth Edition,2,0.18,0.36
Brothers of Fire,Fourth Edition,1,0.20,0.20
Brush with Death,Stronghold,6,0.21,1.26
Brushwagg,Mirage,1,0.98,0.98
Builder's Bane,Mirage,7,0.20,1.40
Bull Elephant,Visions,7,0.19,1.33
Bull Hippo,Portal,2,0.25,0.50
Bull Hippo,Urza's Saga,1,0.25,0.25
Bullwhip,Stronghold,1,0.25,0.25
Bulwark,Urza's Saga,1,0.38,0.38
Burgeoning,Stronghold,1,21.99,21.99
Burning Cloak,Portal,2,0.21,0.42
Burning Palm Efreet,Mirage,1,0.25,0.25
Burning Shield Askari,Mirage,4,0.20,0.80
Burrowing,Fourth Edition,1,0.23,0.23
Cackling Fiend,Urza's Saga,1,0.25,0.25
Cadaverous Bloom,Mirage,1,6.03,6.03
Cadaverous Knight,Mirage,4,0.20,0.80
Caldera Lake,Tempest,1,1.41,1.41
Calming Licid,Stronghold,1,0.24,0.24
Cannibalize,Stronghold,4,0.20,0.80
Canopy Dragon,Mirage,1,0.77,0.77
Canopy Spider,Tempest,6,0.20,1.20
Canyon Drake,Tempest,1,0.39,0.39
Canyon Wildcat,Tempest,4,0.20,0.80
Capsize,Tempest,1,1.12,1.12
Carnassid,Stronghold,1,0.37,0.37
Carnivorous Plant,Fourth Edition,2,0.19,0.38
Carnivorous Plant,The Dark,1,0.24,0.24
Carnophage,Exodus,3,0.34,1.02
Carpet of Flowers,Urza's Saga,1,17.99,17.99
Carrier Pigeons (A),Alliances,1,0,0.00
Carrion,Mirage,1,8.33,8.33
Carrion Beetles,Urza's Saga,3,0.21,0.63
Carrionette,Tempest,1,0.48,0.48
Cartographer,Exodus,1,0.25,0.25
Casting of Bones,Alliances,1,0,0.00
Cat Burglar,Exodus,8,0.20,1.60
Cat Warriors,Fifth Edition,1,0.19,0.19
Cataclysm,Exodus,1,6.00,6.00
Catacomb Dragon,Mirage,1,1.59,1.59
Catalog,Urza's Saga,5,0.21,1.05
Catastrophe,Urza's Saga,1,4.46,4.46
Cathodion,Urza's Saga,1,0.25,0.25
Cave People,Fourth Edition,3,0.24,0.72
Cave Tiger,Urza's Saga,4,0.22,0.88
Celestial Dawn,Mirage,1,1.27,1.27
Cemetery Gate,Homelands,1,0,0.00
Cerulean Wyvern,Mirage,2,0.25,0.50
Change of Heart,Stronghold,5,0.21,1.05
Channel,Revised Edition,1,0.31,0.31
Chaos Charm,Mirage,9,0.20,1.80
Chaosphere,Mirage,1,5.16,5.16
Chaotic Goo,Tempest,1,1.67,1.67
Charcoal Diamond,Mirage,1,2.14,2.14
Charging Bandits,Portal,3,0.24,0.72
Charging Paladin,Exodus,9,0.20,1.80
Charging Rhino,Portal,1,0.49,0.49
Charging Rhino,Tempest,3,0.24,0.72
Chariot of the Sun,Mirage,1,0.24,0.24
Child of Gaea,Urza's Saga,1,0.49,0.49
Chill,Tempest,1,0.37,0.37
Chimeric Sphere,Weatherlight,1,0.24,0.24
Chimeric Staff,Urza's Saga,1,0.42,0.42
Choke,Tempest,1,3.50,3.50
Choking Sands,Mirage,5,0.74,3.70
Choking Vines,Weatherlight,5,0.22,1.10
Chub Toad,Fifth Edition,1,0.19,0.19
Cinder Cloud,Mirage,1,0.25,0.25
Cinder Crawler,Exodus,7,0.20,1.40
Cinder Marsh,Tempest,1,0.25,0.25
Cinder Wall,Weatherlight,6,0.20,1.20
Circle of Despair,Mirage,1,3.06,3.06
Circle of Protection: Black,Fifth Edition,1,0,0.00
Circle of Protection: Black,Fourth Edition,1,0,0.00
Circle of Protection: Black,Tempest,2,0,0.00
Circle of Protection: Blue,Fourth Edition,2,0,0.00
Circle of Protection: Blue,Tempest,1,0,0.00
Circle of Protection: Green,Fourth Edition,2,0,0.00
