Abandon Hope,Tempest,2,0.26,0.52
Abjure,Weatherlight,6,0.39,2.34
Absolute Grace,Urza's Saga,1,0.50,0.50
Absolute Law,Urza's Saga,1,0.41,0.41
Abundance,Urza's Saga,1,2.69,2.69
Abyssal Gatekeeper,Weatherlight,5,0.28,1.40
Abyssal Horror,Urza's Saga,1,0.39,0.39
Abyssal Hunter,Mirage,1,0.41,0.41
Academy Researchers,Urza's Saga,1,0.25,0.25
Acidic Dagger,Mirage,1,0.59,0.59
Acidic Sliver,Stronghold,1,0.45,0.45
Acidic Soil,Urza's Saga,1,3.16,3.16
Acridian,Urza's Saga,1,0.20,0.20
Adarkar Unicorn,Ice Age,1,0.22,0.22
Advance Scout,Tempest,5,0.20,1.00
Aesthir Glider (B),Alliances,1,0.20,0.20
Aether Tide,Exodus,7,0.20,1.40
Afiya Grove,Mirage,1,1.75,1.75
Afterlife,Mirage,1,0.25,0.25
Aftershock,Tempest,2,0.25,0.50
Agility,Mirage,7,0.20,1.40
Alabaster Potion,Fourth Edition,1,0.19,0.19
Alarum,Mirage,8,0.19,1.52
Albino Troll,Urza's Saga,1,0.26,0.26
Aleatory,Mirage,1,0.47,0.47
Aliban's Tower (B),Homelands,2,0.19,0.38
Allay,Exodus,7,0.24,1.68
Alluring Scent,Portal,1,0.75,0.75
Alms,Weatherlight,5,0.20,1.00
Altar of Dementia,Tempest,1,9.37,9.37
Aluren,Tempest,1,129.48,129.48
Amber Prison,Mirage,1,0.49,0.49
Ambush Party (A),Homelands,1,0.19,0.19
Ambush Party (B),Homelands,1,0.18,0.18
Amok,Stronghold,1,0.39,0.39
Amulet of Kroog,Fifth Edition,1,0.20,0.20
Amulet of Kroog,Fourth Edition,1,0.20,0.20
Amulet of Unmaking,Mirage,1,0.75,0.75
An-Havva Township,Homelands,1,0.25,0.25
Anaba Shaman (A),Homelands,1,0.19,0.19
Anaba Shaman (B),Homelands,1,0.20,0.20
Anaconda (A),Portal,1,0.25,0.25
Anaconda,Urza's Saga,1,0.25,0.25
Anarchist,Exodus,7,0.22,1.54
Ancestral Mask,Mercadian Masques,3,1.18,3.54
Ancestral Memories,Mirage,1,0.44,0.44
Ancestral Memories,Portal,1,0.55,0.55
Ancient Runes,Tempest,1,0.35,0.35
Ancient Tomb,Tempest,1,45.00,45.00
Angelic Blessing,Exodus,6,0.20,1.20
Angelic Blessing,Portal,1,0.24,0.24
Angelic Chorus,Urza's Saga,1,2.00,2.00
Angelic Curator,Urza's Legacy,1,0.23,0.23
Angelic Page,Eighth Edition,2,0.23,0.46
Angelic Page,Urza's Saga,4,0.24,0.96
Angelic Protector,Tempest,2,0.25,0.50
Angelic Renewal,Weatherlight,6,0.27,1.62
Annul,Urza's Saga,1,0.25,0.25
Anoint,Tempest,3,0.20,0.60
Antagonism,Urza's Saga,1,0.43,0.43
Apathy,Weatherlight,7,0.20,1.40
Apes of Rath,Tempest,1,0.25,0.25
Apocalypse,Tempest,1,7.80,7.80
Arc Lightning,Urza's Saga,4,0.22,0.88
Arcane Laboratory,Urza's Saga,1,1.47,1.47
Arcbound Worker,Darksteel,1,0.32,0.32
Arctic Wolves,Weatherlight,1,0.24,0.24
Arcum's Whistle,Ice Age,1,0.25,0.25
Ardent Militia,Weatherlight,1,0.20,0.20
Arenson's Aura,Fifth Edition,1,0.25,0.25
Argothian Elder,Urza's Saga,1,4.26,4.26
Argothian Enchantress,Urza's Saga,1,22.17,22.17
Argothian Swine,Urza's Saga,4,0.22,0.88
Argothian Wurm,Urza's Saga,1,1.53,1.53
Armor of Thorns,Mirage,6,0.21,1.26
Armor Sliver,Tempest,1,0.30,0.30
Armor Thrull (Spencer),Fallen Empires,1,0.22,0.22
Armor Thrull (Venters),Fallen Empires,1,0.21,0.21
Armored Pegasus,Portal,1,0.22,0.22
Armored Pegasus,Tempest,4,0.20,0.80
Armorer Guildmage,Mirage,6,0.20,1.20
Arrogant Vampire,Portal,1,0.32,0.32
Ashen Powder,Mirage,1,0.77,0.77
"Asmira, Holy Avenger",Mirage,1,5.08,5.08
Assassin's Blade,Portal,4,0.39,1.56
Attunement,Urza's Saga,1,4.01,4.01
Auratog,Tempest,1,0.62,0.62
Aurochs,Ice Age,1,0.19,0.19
Auspicious Ancestor,Mirage,1,0.64,0.64
Avenging Angel,Tempest,1,3.37,3.37
Avenging Druid,Exodus,4,0.23,0.92
Awakening,Stronghold,1,7.39,7.39
Awesome Presence (A),Alliances,1,0.24,0.24
Azimaet Drake,Mirage,4,0.20,0.80
B.F.M. (Big Furry Monster) (Left),Unglued,1,6.79,6.79
B.F.M. (Big Furry Monster) (Right),Unglued,1,10.98,10.98
Back to Basics,Urza's Saga,1,12.90,12.90
Bad River,Mirage,1,3.72,3.72
Balance of Power,Portal,1,0.67,0.67
Baleful Stare,Portal,2,0.26,0.52
Bandage,Stronghold,6,0.30,1.80
Barbed Foliage,Mirage,1,0.26,0.26
Barbed Sextant,Fifth Edition,1,0.25,0.25
Barbed Sliver,Tempest,1,0.31,0.31
Barbed-Back Wurm,Mirage,1,0.25,0.25
Baron Sengir,Homelands,1,13.98,13.98
Barreling Attack,Mirage,1,0.60,0.60
Barrin's Codex,Urza's Saga,1,0.46,0.46
